  AW  Abundance   u0     u1     u2     u3     u4     u5    X01    X12   X23     X34    X45
    relative to H                                          eV     eV    eV      eV     eV
   1  1.00E+00   2.00   1.00   0.00   1.00   1.00   1.00  13.60 999.00 999.00 999.00 999.00
   2  8.50E-02   1.00   2.00   1.00   0.00   1.00   1.00  24.59  54.42 999.00 999.00 999.00
   3  4.00E-09   2.09   2.00   2.00   1.00   0.00   1.00   5.39  75.64 122.50 999.00 999.00
   4  5.00E-12   1.02   1.00   1.00   2.00   1.00   0.00   9.32  18.21 153.90 217.70 999.00
   5  1.25E-11   6.03   2.00   2.00   1.00   2.00   1.00   8.30  25.15  37.93 259.40 340.20
   6  3.31E-04   9.33   6.03   1.00   2.00   1.00   2.00  11.26  24.38  47.89  64.49 392.10
   7  9.12E-05   4.07   8.91   6.00   1.00   2.00   1.00  14.53  29.60  47.45  77.47  97.89
   8  6.61E-04   8.71   3.98   9.00   6.00   1.00   2.00  13.62  35.12  54.94  77.41 113.90
   9  3.98E-08   5.89   8.32   4.00   9.00   6.00   1.00  17.42  34.97  62.71  87.14 114.20
  10  8.32E-05   2.04   1.00   6.00   4.00   9.00   6.00  21.56  40.96  63.45  97.12 126.20
  11  1.78E-06   2.04   1.00   6.00   6.00   4.00   9.00   5.14  47.29  71.62  98.91 138.40
  12  2.63E-05   1.02   2.04   1.00   6.00   6.00   4.00   7.65  15.04  80.14 109.30 141.30
  13  2.45E-06   5.89   1.00   2.00   1.00   6.00   6.00   5.99  18.83  28.45 120.00 153.80
  14  3.31E-05   9.55   5.75   1.00   2.00   1.00   6.00   8.15  16.35  33.49  45.14 166.80
  15  3.31E-07   4.47   8.13   6.00   1.00   2.00   1.00  10.49  19.77  30.20  51.44  65.03
  16  1.58E-05   8.13   4.17   9.00   6.00   1.00   2.00  10.36  23.34  34.79  47.22  72.59
  17  3.98E-07   5.25   7.76   4.00   9.00   6.00   1.00  12.97  23.81  39.61  53.47  67.80
  18  6.31E-06   1.00   4.90   9.00   4.00   9.00   6.00  15.76  27.63  40.74  59.81  75.02
  19  8.91E-08   2.19   1.00   6.00   9.00   4.00   9.00   4.34  31.63  45.81  60.91  82.66
  20  2.00E-06   1.17   2.19   1.00   6.00   9.00   4.00   6.11  11.87  50.91  67.27  84.50
  21  1.66E-09  12.02  22.91  10.00   1.00   6.00   9.00   6.56  12.80  24.76  73.49  91.65
  22  1.35E-07  30.20  56.23  21.00  10.00   1.00   6.00   6.83  13.58  27.49  43.27  99.30
  23  2.51E-08  41.69  43.65  28.00  21.00  10.00   1.00   6.75  14.62  29.31  46.71  65.28
  24  7.08E-07  10.47   7.24  25.00  28.00  21.00  10.00   6.77  16.49  30.96  49.16  69.46
  25  2.51E-07   6.46   7.76   6.00  25.00  28.00  21.00   7.43  15.64  33.67  51.20  72.40
  26  3.98E-05  26.92  42.66  25.00   6.00  25.00  28.00   7.90  16.19  30.65  54.80  75.00
  27  1.26E-07  33.11  28.84  28.00  25.00   6.00  25.00   7.88  17.08  33.50  51.30  79.50
  28  2.00E-06  29.51  10.47  21.00  28.00  25.00   6.00   7.64  18.17  35.19  54.90  76.06
  29  3.16E-08   2.29   1.02  10.00  21.00  28.00  25.00   7.73  20.29  36.84  57.38  79.80
  30  1.58E-08   1.00   2.00   1.00  10.00  21.00  28.00   9.39  17.96  39.72  59.40  82.60
