AW N_0 N_1 N_2 N_3 N_4 N_5
1.0 0.934311167353 0.065688832647 nan nan nan nan
2.0 1.0 1.14120334848e-13 7.55196647476e-61 nan nan nan
3.0 4.11110638702e-09 0.999999995889 1.56771000828e-71 1.78994256524e-195 nan nan
4.0 0.000108302615535 0.999890806114 8.91270642693e-07 1.60248696432e-165 0.0 nan
5.0 2.26605199177e-05 0.99997733948 1.33321180757e-14 3.45763638502e-43 0.0 0.0
6.0 0.0246736721355 0.975326327864 1.59202431144e-14 9.71766960997e-54 2.84381732664e-112 0.0
7.0 0.973214069639 0.026785930361 2.30952768263e-21 3.68191073893e-61 9.97620571176e-134 6.38808404193e-230
8.0 0.942505294135 0.0574947058651 9.93786588577e-27 2.27303725126e-74 5.99749678644e-148 1.36292733397e-261
9.0 0.999990209165 9.79083500627e-06 5.311212482e-31 7.10840555329e-87 8.0205252633e-171 6.97045871643e-286
10.0 0.999999999927 7.29722933823e-11 8.70491006512e-42 5.05460536245e-99 1.07525893479e-193 0.0
11.0 4.19359857892e-09 0.999999995806 8.69479713281e-39 4.64780418268e-105 2.80865231618e-202 0.0
12.0 6.93981187676e-07 0.99836239073 0.00163691528891 1.2986733801e-78 2.26814160232e-187 0.0
13.0 1.10022950099e-07 0.999999533518 3.56459500447e-07 4.51853317171e-25 4.07952357034e-145 4.75465105195e-304
14.0 8.45637796603e-06 0.99997215232 1.93913017309e-05 2.04097552453e-28 3.9276550302e-65 6.03580933811e-238
15.0 0.00121618575265 0.998783802802 1.14451695034e-08 5.14384771161e-29 3.11977363792e-72 2.24692957429e-131
16.0 0.00307149184231 0.996928508155 3.15160798224e-12 3.78299652173e-37 1.0957737758e-76 9.44110029417e-144
17.0 0.483838909393 0.516161090606 1.15027073746e-13 1.71246067544e-43 1.78000883142e-89 3.217164909e-152
18.0 0.997478628036 0.00252137196426 9.86928839116e-20 1.54389518229e-51 3.84654548071e-104 2.01058283686e-174
19.0 5.64113443941e-10 0.999999999436 3.94986237293e-21 4.00446945344e-58 1.13327620456e-112 4.85772081731e-191
20.0 2.02456367598e-09 0.148564945123 0.851435052853 6.13345979086e-43 3.94999875221e-104 2.81611046243e-185
21.0 2.88943103178e-08 0.671220608863 0.328779362242 1.20657768709e-15 3.01432172183e-83 6.28903564029e-172
22.0 8.41708178522e-08 0.947585531248 0.0524143845809 7.65049788109e-19 3.78025015962e-54 7.46915479687e-151
23.0 1.27521845999e-07 0.993656121995 0.00634375048308 1.29341442553e-21 4.02347695568e-60 3.02839244717e-120
24.0 2.04617830636e-07 0.999732176961 0.000267618420818 1.12361754621e-24 9.51223727429e-66 6.60000871253e-130
25.0 6.5337733388e-07 0.999454975402 0.000544371220293 7.48043790423e-27 4.73762124289e-70 2.50683917625e-137
26.0 1.67874874796e-06 0.999899336291 9.89849599721e-05 1.99160520388e-25 4.09498866102e-72 3.7875985644e-142
27.0 2.89987954413e-06 0.999980832089 1.62680314886e-05 7.44804666767e-29 7.79676831221e-73 2.26283743461e-147
28.0 3.8179836123e-06 0.999994198532 1.98348462244e-06 1.68556461654e-31 5.72840587844e-79 7.2434041818e-151
29.0 3.84172736982e-06 0.999996118812 3.94607963094e-08 7.28311408703e-35 5.90820758867e-85 1.68626104628e-160
30.0 6.36731278467e-05 0.999935473998 8.52873740201e-07 4.24124183348e-36 2.8594037344e-88 8.48752480759e-167
